B.S:2072-2-14A.D:2015-05-28,Local:08:52 UTC:03:07,27.99,84.79,4,NSC,Dhading
B.S:2072-2-7A.D:2015-05-21,Local:13:15 UTC:07:30,28.02,84.98,4,NSC,Dhading
B.S:2072-2-4A.D:2015-05-18,Local:12:12 UTC:06:27,28.11,84.88,4.1,NSC,Dhading
B.S:2072-2-1A.D:2015-05-15,Local:16:36 UTC:10:51,27.92,84.84,4,NSC,Dhading
B.S:2072-2-1A.D:2015-05-15,Local:13:12 UTC:07:27,27.93,84.84,5.5,NSC,Dhading
B.S:2072-1-30A.D:2015-05-13,Local:08:55 UTC:03:10,27.91,84.82,5.9,NSC,Dhading
B.S:2072-1-29A.D:2015-05-12,Local:17:52 UTC:12:07,28.1,84.91,4,NSC,Dhading
B.S:2072-1-22A.D:2015-05-05,Local:12:24 UTC:06:39,28.06,85.05,4,NSC,Dhading
B.S:2072-1-20A.D:2015-05-03,Local:16:31 UTC:10:46,27.94,84.83,4.5,NSC,Dhading
B.S:2072-1-21A.D:2015-05-03,Local:04:24 UTC:10:39 PM,28.05,84.94,4,NSC,Dhading
B.S:2072-1-20A.D:2015-05-03,Local:13:45 UTC:08:00,27.98,84.87,4.1,NSC,Dhading
B.S:2072-1-17A.D:2015-04-30,Local:12:07 UTC:06:22,27.93,84.83,4.7,NSC,Dhading
B.S:2072-1-16A.D:2015-04-29,Local:09:09 UTC:03:24,27.86,84.89,4.5,NSC,Dhading
B.S:2072-1-14A.D:2015-04-27,Local:17:15 UTC:11:30,28.19,85.03,4,NSC,Dhading
B.S:2072-1-12A.D:2015-04-25,Local:14:05 UTC:08:20,27.9,84.86,5.1,NSC/RSC,Dhading
B.S:2079-8-12A.D:2022-11-28,Local:10:45 UTC:05:00,26.93,87.26,4,NEMRC/DMG,Dhankuta
B.S:2075-2-10A.D:2018-05-24,Local:20:10 UTC:14:25,29.98,80.54,4.6,RSC/NSC,Darchula
B.S:2079-12-18A.D:2023-04-01,Local:11:27 UTC:05:42,27.76,86.19,5.2,NEMRC/DMG,Dolakha
B.S:2079-3-18A.D:2022-07-02,Local:15:32 UTC:09:47,27.66,86.2,4.1,NEMRC,Dolakha
B.S:2078-9-21A.D:2022-01-05,Local:16:16 UTC:10:31,27.67,86.32,4.2,NEMRC,Dolakha
B.S:2078-5-27A.D:2021-09-12,Local:20:41 UTC:14:56,27.64,86.1,4.3,NEMRC,Dolakha
B.S:2077-11-19A.D:2021-03-03,Local:18:43 UTC:12:58,27.79,86.35,4.2,NEMRC,Dolakha
B.S:2077-10-1A.D:2021-01-14,Local:17:25 UTC:11:40,27.66,86.18,4,NEMRC,Dolakha
B.S:2077-7-8A.D:2020-10-24,Local:16:17 UTC:10:32,27.62,86.24,4,NEMRC,Dolakha
B.S:2077-3-2A.D:2020-06-16,Local:09:53 UTC:04:08,27.88,86.2,4.1,NSC,Dolakha
B.S:2077-1-30A.D:2020-05-12,Local:23:53 UTC:18:08,27.65,86.15,5.3,NSC,Dolakha
B.S:2076-11-21A.D:2020-03-04,Local:19:17 UTC:13:32,27.79,86.18,4.3,NSC,Dolakha
B.S:2076-6-9A.D:2019-09-25,Local:01:18 UTC:19:33,27.71,86.32,4,NSC,Dolakha
B.S:2076-4-29A.D:2019-08-14,Local:23:09 UTC:17:24,27.69,86.26,4.3,NSC,Dolakha
B.S:2076-4-8A.D:2019-07-24,Local:17:58 UTC:12:13,27.8,86.15,4.2,NSC,Dolakha
B.S:2075-12-26A.D:2019-04-09,Local:13:05 UTC:07:20,27.76,86.27,4.2,NSC,Dolakha
B.S:2075-11-14A.D:2019-02-26,Local:16:15 UTC:10:30,27.66,86,4.4,NSC,Dolakha
B.S:2075-4-17A.D:2018-08-02,Local:14:32 UTC:08:47,27.66,86.1,4.2,NSC,Dolakha
B.S:2075-2-18A.D:2018-06-01,Local:21:07 UTC:15:22,27.68,86.11,4.3,NSC,Dolakha
B.S:2074-11-18A.D:2018-03-02,Local:10:51 UTC:05:06,27.7,86.33,4.6,NSC,Dolakha
B.S:2074-11-15A.D:2018-02-26,Local:00:45 UTC:19:00,27.7,86.33,4.7,NSC,Dolakha
B.S:2074-10-5A.D:2018-01-19,Local:08:38 UTC:02:53,27.72,86.01,4.3,NSC,Dolakha
B.S:2074-8-22A.D:2017-12-08,Local:08:36 UTC:02:51,27.63,86.19,5.2,NSC,Dolakha
B.S:2074-6-5A.D:2017-09-21,Local:13:04 UTC:07:19,27.62,86.25,4.6,NSC,Dolakha
B.S:2074-5-5A.D:2017-08-21,Local:17:48 UTC:12:03,27.66,86.27,4.6,NSC,Dolakha
B.S:2074-4-9A.D:2017-07-24,Local:10:29 UTC:04:44,27.56,85.96,4,NSC,Dolakha
B.S:2074-2-29A.D:2017-06-12,Local:17:39 UTC:11:54,27.62,86.1,4.1,NSC,Dolakha
B.S:2073-10-22A.D:2017-02-04,Local:17:58 UTC:12:13,27.73,86.08,4.4,NSC,Dolakha
B.S:2073-6-26A.D:2016-10-12,Local:14:14 UTC:08:29,27.66,85.95,4.1,NSC,Dolakha
B.S:2073-6-25A.D:2016-10-11,Local:12:53 UTC:07:08,27.67,85.95,4.6,NSC,Dolakha
B.S:2073-6-21A.D:2016-10-07,Local:10:37 UTC:04:52,27.65,86.13,4.2,NSc,Dolakha
B.S:2073-5-20A.D:2016-09-05,Local:07:49 UTC:02:04,27.78,86.35,4.5,NSC,Dolakha
B.S:2073-5-20A.D:2016-09-05,Local:06:22 UTC:00:37,27.82,86.14,4.1,NSC,Dolakha
B.S:2073-3-25A.D:2016-07-08,Local:04:08 UTC:22:23,27.84,86.16,4.1,NSC,Dolakha
B.S:2073-3-8A.D:2016-06-22,Local:18:45 UTC:13:00,27.76,86.34,4.1,NSC,Dolakha
B.S:2073-2-1A.D:2016-05-13,Local:01:09 UTC:19:24,27.69,86.24,4.1,NSC,Dolakha
B.S:2073-1-10A.D:2016-04-22,Local:12:41 UTC:06:56,27.72,86.29,4,NSC,Dolakha
B.S:2072-12-30A.D:2016-04-12,Local:20:26 UTC:14:41,27.56,86.17,4.4,NSC,Dolakha
B.S:2072-12-22A.D:2016-04-04,Local:10:16 UTC:04:31,27.72,86.09,4.7,NSC,Dolakha
B.S:2072-10-1A.D:2016-01-15,Local:22:59 UTC:17:14,27.65,86.23,4.3,NSC,Dolakha
B.S:2072-10-1A.D:2016-01-15,Local:18:50 UTC:13:05,27.63,86.25,4.1,NSC,Dolakha
B.S:2072-9-20A.D:2016-01-04,Local:18:47 UTC:13:02,27.75,86.12,4.1,NSC,Dolakha
B.S:2072-9-14A.D:2015-12-28,Local:03:52 UTC:22:07,27.7,86.12,4.2,NSC,Dolakha
B.S:2072-9-8A.D:2015-12-23,Local:08:59 UTC:03:14,27.79,86.08,4.1,NSC,Dolakha
B.S:2072-8-21A.D:2015-12-07,Local:07:27 UTC:01:42,27.86,86.19,4,NSC,Dolakha
B.S:2072-6-30A.D:2015-10-17,Local:23:46 UTC:18:01,27.8,86.3,4.2,NSC,Dolakha
B.S:2072-6-29A.D:2015-10-16,Local:14:28 UTC:08:43,27.71,86.16,4.2,NSC,Dolakha
B.S:2072-6-21A.D:2015-10-07,Local:05:15 UTC:23:30,27.68,86.08,4.2,NSC,Dolakha
