date,time,latitude,longitude,magnitude,remarks,epicenter
2019-10-31,03:51,28.45,83.23,4.5,NSC,baglung
2019-10-28,19:27,29.66,82.04,4.1,NSC/RSC,mugu
2019-10-22,11:06,26.88,86.59,4.1,NSC,udayapur
2019-10-20,01:09,27.82,87.98,4.2,NSC,taplejung
2019-09-29,07:27,28.66,83.06,4.4,NSC,rukum/baglung border
2019-09-28,10:43,30.0,81.45,4.3,RSC/NSC,bajhang/humla border
2019-09-26,18:49,28.28,84.65,4.7,NSC,gorkha/lamjung border
2019-09-25,01:18,27.71,86.32,4.0,NSC,dolakha
2019-09-22,22:01,28.25,84.49,4.4,NSC,lamjung
2019-09-21,06:19,28.15,84.61,4.0,NSC,gorkha
2019-09-17,09:53,28.21,84.49,4.5,NSC,lamjung
2019-09-16,20:18,29.8,80.48,4.4,NSC/RSC,darchula(nepal-india border)
2019-09-15,10:54,30.3,81.74,5.0,RSC/NSC,humla
2019-08-22,07:07,27.52,86.39,4.0,NSC,solukhumbu
2019-08-14,23:09,27.69,86.26,4.3,NSC,dolakha
2019-08-09,18:26,28.5,83.22,4.7,NSC,myagdi
2019-07-24,17:58,27.8,86.15,4.2,NSC,dolakha
2019-07-06,16:15,27.67,85.42,4.6,NSC,bhaktapur
2019-06-27,22:21,27.95,84.8,4.0,NSC,dhading
2019-06-15,21:32,28.95,81.98,4.5,NSC/RSC,jajarkot
2019-06-14,12:22,29.52,81.05,4.0,RSC/NSC,bajhang
2019-05-30,10:01,29.62,82.11,4.6,RSC/NSC,mugu
2019-05-25,21:08,29.5,81.28,4.3,RSC/NSC,bajhang
2019-05-25,11:02,27.7,86.47,4.9,NSC,ramechhap
2019-05-21,23:47,28.21,84.37,4.1,NSC,lamjung
2019-05-17,14:08,27.85,84.87,5.0,NSC,dhading
2019-05-11,00:36,28.98,81.78,5.1,RSC/NSC,dailekh
2019-05-04,08:37,27.94,85.72,4.0,NSC,sindhupalchowk
2019-04-29,11:35,27.93,85.94,4.0,NSC,sindhupalchowk
2019-04-24,06:40,27.7,85.14,4.3,NSC,dhading
2019-04-24,06:29,27.69,85.17,5.2,NSC,dhading
2019-04-16,12:35,28.0,84.76,4.5,NSC,gorkha
2019-04-14,04:27,29.49,81.24,4.8,RSC/NSC,bajhang
2019-04-13,10:25,28.03,85.38,4.6,NSC,rasuwa
2019-04-09,13:05,27.76,86.27,4.2,NSC,dolakha
2019-04-01,20:47,28.98,81.69,4.1,RSC/NSC,dailekh
2019-03-18,09:01,27.63,85.16,4.1,NSC,makawanpur
2019-02-26,16:20,27.84,85.95,4.1,NSC,sindhupalchok
2019-02-26,16:15,27.66,86.0,4.4,NSC,dolakha
2019-02-16,20:34,27.68,85.27,4.0,NSC,kathmandu
2019-02-14,17:11,27.81,88.18,4.6,NSC,taplejung
2019-01-22,22:30,27.09,86.96,4.5,NSC,bhojpur
2019-01-10,11:34,27.6,86.31,4.5,NSC,ramechhap
2018-12-22,05:06,27.85,85.76,4.7,NSC,sindhupalchok
2018-10-25,07:07,27.72,86.02,4.0,NSC,sindhupalchok/dolakha
2018-10-06,10:52,28.94,81.72,4.3,RSC/NSC,dailekh
2018-10-05,21:45,28.93,81.7,4.0,RSC/NSC,dailekh
2018-10-05,12:53,28.94,81.74,4.0,RSC/NSC,dailekh
2018-09-19,01:42,28.57,82.88,4.0,NSC,east rukum
2018-08-29,23:35,27.79,87.41,4.2,NSC,sankhuwasabha
2018-08-24,18:16,27.5,88.04,4.5,NSC,taplejung
2018-08-02,14:32,27.66,86.1,4.2,NSC,dolakha
2018-07-24,17:44,27.94,85.51,4.3,NSC,sindhupalchok
2018-07-24,08:30,27.75,84.87,4.8,NSC,dhading
2018-07-18,11:15,29.02,81.51,4.2,RSC/NSC,dailekh
2018-07-17,22:52,27.82,84.81,4.4,NSC,dhading
2018-07-13,08:58,29.57,81.56,4.1,RSC/NSC,bajura
2018-07-05,07:21,28.11,85.04,4.1,NSC,dhading
2018-06-28,09:52,27.87,84.91,5.0,NSC,dhading
2018-06-20,10:00,27.31,87.9,4.7,NSC,taplejung
2018-06-20,09:54,27.36,88.01,4.8,NSC,taplejung
2018-06-05,07:19,29.68,81.65,4.9,RSC/NSC ,bajura
2018-06-01,21:07,27.68,86.11,4.3,NSC,dolakha
2018-05-31,02:17,28.17,84.89,4.1,NSC,gorkha
2018-05-31,21:45,28.9,81.77,4.3,RSC/NSC,dailekh
2018-05-24,20:10,29.98,80.54,4.6,RSC/NSC,dharchula
2018-05-05,20:49,27.74,88.13,4.4,NSC,taplejung
2018-03-02,10:51,27.7,86.33,4.6,NSC,dolakha
2018-02-26,00:45,27.7,86.33,4.7,NSC,dolakha
2018-02-21,21:44,28.07,85.96,4.3,NSC,tibet
2018-01-19,08:38,27.72,86.01,4.3,NSC,dolakha
2017-12-28,13:30,29.82,80.76,4.5,RSC/NSC,darchula
2017-12-18,17:18,27.96,85.68,4.2,NSC,sindhupalchowk
2017-12-08,08:36,27.63,86.19,5.2,NSC,dolakha
2017-11-06,08:54,29.78,81.28,4.5,RSC/NSC,bajhang
2017-10-26,18:36,29.08,81.45,4.0,NSC/RSC,achham
2017-10-15,17:02,28.5,83.32,4.2,NSC,myagdi
2017-10-02,07:07,28.83,82.55,4.1,NSC/RSC,rukum
2017-09-21,13:04,27.62,86.25,4.6,NSC,dolakha
2017-08-24,16:25,28.06,85.94,4.8,NSC,sindhupalchok-tibet border
2017-08-22,18:35,29.41,81.1,4.9,RSC/NSC,bajhang
2017-08-21,17:48,27.66,86.27,4.6,NSC,dolakha
2017-07-24,10:29,27.56,85.96,4.0,NSC,dolakha
2017-07-15,10:20,28.94,81.75,4.0,NSC/RSC,dailekh
2017-07-02,07:43,27.34,86.49,5.1,NSC,okhaldhunga
2017-06-28,00:09,27.66,86.41,4.2,NSC,ramechhap
2017-06-14,09:27,27.88,88.13,4.1,NSC,taplejung-tibet border
2017-06-12,17:39,27.62,86.1,4.1,NSC,dolakha
2017-05-30,11:23,29.64,80.97,4.1,RSC/NSC,bajhang
2017-04-24,17:04,27.86,85.77,4.2,NSC,sindhupalchowk
2017-04-24,08:49,29.75,81.31,4.1,NSC/RSC,bajhang
2017-03-10,07:28,30.37,81.57,4.1,RSC/NSC,humla
2017-02-27,10:06,27.38,86.13,4.7,NSC,ramechhap
2017-02-27,09:22,27.36,86.12,4.6,NSC,ramechhap
2017-02-18,06:00,27.79,84.8,4.0,NSC,dhading
2017-02-10,16:58,29.88,80.61,4.1,NSC/RSC,darchula
2017-02-04,17:58,27.73,86.08,4.4,NSC,dolakha
2017-01-03,12:26,29.71,81.57,4.0,RSC/NSC,bajura
2016-11-28,05:20,27.79,86.58,5.6,NSC/RSC,ramechap/solukhumbu
2016-11-06,09:47,29.69,81.05,4.0,RSC/NSC,bajhang
2016-10-17,10:03,27.87,85.3,4.0,NSC,nuwakot
2016-10-15,18:22,28.04,85.17,4.1,NSC,rasuwa
2016-10-12,14:14,27.66,85.95,4.1,NSC,dolakha
2016-10-11,12:53,27.67,85.95,4.6,NSC,dolakha
2016-10-07,10:37,27.65,86.13,4.2,NSc,dolakha
2016-09-18,22:57,27.91,85.77,4.6,NSC,sindhupalchowk
2016-09-05,07:49,27.78,86.35,4.5,NSC,dolakha
2016-09-05,06:22,27.82,86.14,4.1,NSC,dolakha
2016-08-27,17:48,29.81,81.56,4.0,RSC/NSC,bajura
2016-07-23,11:59,27.99,84.71,4.1,NSC,gorkha
2016-07-08,04:08,27.84,86.16,4.1,NSC,dolakha
2016-07-07,17:38,27.92,85.66,4.4,NSC,sindhupalchowk
2016-07-07,14:44,28.31,84.35,4.3,NSC/RSC,lamjung
2016-07-02,18:08,29.64,81.28,4.4,RSC/NSC,bajhang
2016-06-29,15:11,29.63,81.24,4.2,RSC/NSC,bajhang
2016-06-29,14:55,29.63,81.28,5.0,RSC/NSC,bajhang
2016-06-22,18:45,27.76,86.34,4.1,NSC,dolakha
2016-06-21,11:34,27.93,85.21,4.4,NSC,nuwakot
2016-06-14,05:12,28.03,84.64,4.3,NSC,gorkha
2016-06-03,05:10,27.96,85.62,4.4,NSC,sindhupalchowk
2016-05-28,15:24,27.94,85.5,4.6,NSC/RSC,sindhupalchok
2016-05-24,00:54,27.73,85.16,4.2,NSC/RSC,dhading
2016-05-15,04:30,27.93,85.5,4.4,NSC/RSC,sindhupalchowk
2016-05-14,05:05,27.97,85.55,4.3,NSC,sindhupalchowk
2016-05-13,01:09,27.69,86.24,4.1,NSC,dolakha
2016-05-11,14:37,28.01,84.68,4.5,NSC,gorkha
2016-05-11,07:04,28.01,84.94,4.4,NSC,dhading
2016-05-05,10:31,28.24,84.99,4.1,NSC,gorkha/dhading
2016-05-04,11:17,29.38,81.88,4.0,RSC/NSC,kalikot
2016-04-30,12:28,29.54,81.1,4.2,RSC/NSC,bajhang
2016-04-26,15:18,28.05,85.38,4.3,NSC,rasuwa
2016-04-24,02:16,28.08,85.13,4.2,NSC,nuwakot
2016-04-22,16:49,27.79,85.85,4.0,NSC,sindhupalchowk
2016-04-22,12:41,27.72,86.29,4.0,NSC,dolakha
2016-04-12,20:26,27.56,86.17,4.4,NSC,dolakha
2016-04-09,19:05,27.65,85.31,4.5,NSC,lalitpur
2016-04-04,10:16,27.72,86.09,4.7,NSC,dolakha
2016-04-04,09:40,29.81,81.51,4.3,RSC/NSC,bajhang
2016-03-31,04:26,27.93,85.59,4.0,NSC,sindhupalchowk
2016-03-30,18:11,27.89,85.73,4.7,NSC,sindhupalchowk
2016-03-24,05:26,27.75,88.04,4.1,NSC,taplejung
2016-03-17,10:59,27.34,86.27,4.0,NSC,okhaldhunga
